simpleid,ID,CVCL,GDSC,CCLE,GNE,PharmacoGX_ID,SRR,EGAF,EGAN,gCSI_RNA
COCM1,CoCM-1,CVCL_1127,NA,NA,NA,NA,NA,NA,NA,NA
COLO201,COLO-201,CVCL_1987,NA,NA,Unk205,COLO 201,SRR8616145,NA,NA,587489_1
COLO205,COLO-205,CVCL_0218,COLO-205.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B10_437314,Unk588,COLO 205,NA,EGAF00000660849,EGAN00001202150,636043_1
COLO206F,COLO-206F,CVCL_1988,NA,NA,Unk261,NA,NA,NA,NA,636044_1
COLO320,COLO-320,CVCL_1989,NA,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B01_490394,NA,COLO 320,SRR8616146,NA,NA,NA
COLO320DM,COLO-320DM,CVCL_0219,NA,NA,Unk26,NA,NA,NA,NA,587491_1
COLO320HSR,COLO320HSR,CVCL_0220,COLO-320-HSR.cel,NA,NA,NA,NA,EGAF00000765141,EGAN00001236656,NA
COLO668,COLO-668,CVCL_1128,COLO-668.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B02_542866,NA,COLO 668,SRR8615793,NA,NA,NA
COLO678,COLO-678,CVCL_1129,COLO-678.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G08_490452,Unk48,COLO 678,SRR8615792,NA,NA,587495_1
COLO679,COLO-679,CVCL_1130,COLO-679.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F06_256132,Unk125,COLO 679,SRR8615639,NA,NA,586988_1
COLO680N,COLO-680N,CVCL_1131,COLO-680N.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E05_490472,Unk648,COLO 680N,SRR8615991,NA,NA,639209_1
COLO684,COLO-684,CVCL_1132,COLO-684.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A10_578332,NA,COLO 684,SRR8615789,NA,NA,NA
COLO699,COLO-699,CVCL_1992,NA,NA,Unk262,COLO 699,NA,NA,NA,637189_1
COLO704,COLO-704,CVCL_1994,NA,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B10_246652,Unk417,NA,NA,NA,NA,636075_1
COLO741,COLO-741,CVCL_1133,COLO-741.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B03_293308,Unk27,COLO 741,SRR8615788,EGAF00000867566,EGAN00001266283,587492_1
COLO775,COLO-775,CVCL_1996,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E06_578362,NA,NA,NA,NA,NA,NA
COLO783,COLO-783,CVCL_1997,COLO-783.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D08_293366,Unk559,COLO 783,SRR8615787,NA,NA,636442_1
COLO792,COLO-792,CVCL_1134,COLO-792.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B12_578288,Unk632,COLO 792,SRR8615786,NA,NA,639180_1
COLO794,COLO-794,CVCL_2408,NA,NA,Unk383,NA,NA,NA,NA,636875_1
COLO800,COLO-800,CVCL_1135,COLO-800.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D10_256092,Unk126,COLO 800,SRR8615618,NA,NA,586990_1
COLO818,COLO-818,CVCL_1998,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D03_293356,Unk516,NA,NA,NA,NA,636087_1
COLO824,COLO-824,CVCL_1136,COLO-824.cel,NA,NA,COLO 824,NA,EGAF00000800436,EGAN00001252810,NA
COLO829,COLO-829,CVCL_1137,COLO-829.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D05_246690,Unk74,COLO 829,SRR8615617,NA,NA,587731_1
COLO849,COLO-849,CVCL_2002,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E11_256118,NA,NA,NA,NA,NA,586992_1
COLO853,COLO-853,CVCL_2003,NA,NA,Unk382,NA,NA,NA,NA,636864_1
COLO857,COLO-857,CVCL_2004,NA,NA,Unk384,NA,NA,NA,NA,636847_1
CORL105,COR-L105,CVCL_1138,COR-L105.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C04_698598,NA,COR-L105,SRR8615963,NA,NA,NA
CORL23,COR-L23,CVCL_1139,COR-L23.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A06_335198,NA,COR-L23,SRR8615425,NA,NA,NA
CORL24,COR-L24,CVCL_2409,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A04_578330,NA,NA,SRR8615422,NA,NA,NA
CORL26,COR-L26,CVCL_2410,NA,NA,Unk297,NA,NA,NA,NA,636857_1
CORL279,COR-L279,CVCL_1140,COR-L279.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E10_542926,Unk423,COR-L279,SRR8615423,NA,NA,636841_1
CORL303,COR-L303,CVCL_2411,COR-L303.cel,NA,NA,COR-L303,NA,EGAF00000765142,EGAN00001236657,NA
CORL311,COR-L311,CVCL_2412,COR-L311.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A05_578382,NA,COR-L311,SRR8615428,NA,NA,NA
CORL32,COR-L32,CVCL_2413,COR-L32.cel,NA,NA,COR-L32,NA,EGAF00000765143,EGAN00001236658,NA
CORL321,COR-L321,CVCL_2414,COR-L321.cel,NA,NA,COR-L321,NA,EGAF00000765144,EGAN00001236659,NA
CORL47,COR-L47,CVCL_2415,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H07_578444,Unk601,COR-L47,SRR8615429,NA,NA,636842_1
CORL51,COR-L51,CVCL_2416,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E01_578336,NA,COR-L51,NA,NA,NA,NA
CORL88,COR-L88,CVCL_1141,COR-L88.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E03_578338,Unk603,COR-L88,SRR8615426,NA,NA,636830_1
CORL95,COR-L95,CVCL_2418,COR-L95.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D09_578416,NA,COR-L95,SRR8615427,NA,NA,NA
COV318,COV318,CVCL_2419,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E12_410982,Unk581,NA,SRR8615948,NA,NA,636141_1
COV362,COV362,CVCL_2420,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G08_542792,Unk479,COV362,SRR8615949,NA,NA,636154_1
COV413A,COV413A,CVCL_2422,NA,NA,Unk481,NA,NA,NA,NA,636839_1
COV413B,COV413B,CVCL_2423,NA,NA,Unk580,NA,NA,NA,NA,636142_1
COV434,COV434,CVCL_2010,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E02_578280,Unk582,COV434,SRR8615956,NA,NA,636882_1
COV504,COV504,CVCL_2424,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E07_410998,Unk425,NA,NA,NA,NA,636780_1
COV644,COV644,CVCL_2425,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H10_578276,Unk301,COV644,SRR8615955,NA,NA,636748_1
CP50MELB,CP50-MEL-B,CVCL_1143,NA,NA,NA,NA,NA,EGAF00000827823,EGAN00001252811,NA
CP66MEL,CP66-MEL,CVCL-1144,NA,NA,NA,NA,NA,EGAF00000814215,EGAN00001252812,NA
CP67MEL,CP67-MEL,CVCL_1145,CP67-MEL.cel,NA,NA,CP67-MEL,NA,EGAF00000827824,EGAN00001252813,NA
CPCN,CPC-N,CVCL_1146,NA,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D01_246682,Unk602,CPC-N,NA,EGAF00000765619,EGAN00001236660,636843_1
CROAP2,CRO-AP2,CVCL_1147,CRO-AP2.cel,NA,NA,CRO-AP2,NA,EGAF00000851897,EGAN00001266081,NA
CROAP3,CRO-AP3,CVCL_1810,CRO-AP3.CEL,NA,NA,CRO-AP3,NA,EGAF00000851898,EGAN00001266082,NA
CS1,CS1,CVCL_T023,CS1.cel,NA,NA,CS-1 [Human chondrosarcoma],NA,EGAF00000827825,EGAN00001252814,NA
CTB1,CTB-1,CVCL_1149,CTB-1.cel,NA,NA,CTB-1,NA,EGAF00000859685,EGAN00001266083,NA
CTV1,CTV-1,CVCL_1150,CTV-1.cel,NA,NA,CTV-1,NA,EGAF00000859686,EGAN00001266084,NA
CW2,CW-2,CVCL_1151,ega-box-03_CW-2.cel,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_B03_592764,Unk619,CW-2,SRR8615958,NA,NA,639165_1
CX1,CX-1,CVCL_2011,NA,NA,Unk49,NA,NA,NA,NA,587496_1
D245MG,D-245MG,CVCL_1152,D-245MG.cel,NA,NA,D-245MG,NA,NA,NA,NA
D247MG,D-247MG,CVCL_1153,D-247MG.cel,NA,NA,D-247MG,NA,EGAF00000859687,EGAN00001266085,NA
D263MG,D-263MG,CVCL_1154,D-263MG.cel,NA,NA,D-263MG,NA,EGAF00000859688,EGAN00001266086,NA
D283MED,D-283MED,CVCL_1155,D-283MED.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B04_410886,NA,D283 Med,SRR8615957,NA,NA,NA
D336MG,D-336MG,CVCL_1156,D-336MG.cel,NA,NA,D-336MG,NA,EGAF00000859689,EGAN00001266087,NA
D341MED,D341-Med,CVCL_0018,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A01_464622,NA,NA,SRR8615960,NA,NA,NA
D392MG,D-392MG,CVCL_1158,D-392MG.cel,NA,NA,D-392MG,NA,EGAF00000859690,EGAN00001266088,NA
D423MG,D-423MG,CVCL_1160,D-423MG.cel,NA,NA,D-423MG,NA,EGAF00000859691,EGAN00001266089,NA
D502MG,D-502MG,CVCL_1162,D-502MG.cel,NA,NA,D-502MG,NA,EGAF00000851899,EGAN00001266090,NA
D542MG,D-542MG,CVCL_1164,D-542MG.cel,NA,NA,D-542MG,NA,EGAF00000859692,EGAN00001266091,NA
D566MG,D-566MG,CVCL_1166,D-566MG.cel,NA,NA,D-566MG,NA,EGAF00000859693,EGAN00001266092,NA
DANG,DAN-G,CVCL_0243,DAN-G.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A04_335194,Unk473,DAN-G,SRR8615959,NA,NA,635999_1
DAOY,Daoy,CVCL_1167,Daoy.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C12_335258,NA,Daoy,SRR8615962,NA,NA,NA
DAUDI,Daudi,CVCL_0008,Daudi.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D03_411032,Unk132,Daudi,SRR8615961,NA,NA,587405_1
DB,DB,CVCL_1168,DB.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_G02_335334,Unk31,DB,SRR8615952,NA,NA,587607_1
DBTRG05MG,DBTRG-05MG,CVCL_1169,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A06_256012,NA,DBTRG-05MG,SRR8615953,NA,NA,NA
DEL,DEL,CVCL_1170,DEL.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C07_490506,NA,DEL,SRR8616006,NA,NA,NA
DEOC1,DEOC1,NA,NA,NA,NA,NA,NA,NA,NA,639181_1
DETROIT562,Detroit-562,CVCL_1171,Detroit562.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G02_293426,Unk293,Detroit 562,SRR8616007,NA,NA,636054_1
DG75,DG-75,CVCL_0244,DG-75.cel,NA,NA,DG-75,NA,EGAF00000859694,EGAN00001266093,NA
DIFI,DIFI,CVCL_6895,DIFI.cel,NA,NA,DiFi,NA,EGAF00000684901,EGAN00001202151,NA
DJM1,DJM-1,CVCL_1172,DJM-1.cel,NA,NA,DJM-1,NA,EGAF00000827826,EGAN00001252815,NA
DKMG,DK-MG,CVCL_1173,DK-MG.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B11_335232,NA,DK-MG,SRR8616008,NA,NA,NA
DLD1,DLD-1,CVCL_0248,NA,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D11_246702,Unk15,DLD-1,NA,NA,NA,587497_1
DM3,DM-3,CVCL_2019,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_B11_780304,NA,NA,SRR8616009,NA,NA,NA
DMS114,DMS-114,CVCL_1174,DMS-114.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D04_437284,NA,DMS 114,SRR8616002,NA,NA,NA
DMS153,DMS-153,CVCL_1175,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E05_464700,NA,DMS 153,SRR8616003,NA,NA,NA
DMS273,DMS-273,CVCL_1176,DMS-273.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D07_542826,Unk279,DMS 273,SRR8616004,NA,NA,636789_1
DMS454,DMS-454,CVCL_2438,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B11_542808,Unk635,DMS 454,SRR8616005,NA,NA,639168_1
DMS53,DMS-53,CVCL_1177,DMS-53.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C06_464568,Unk653,DMS 53,SRR8615998,NA,NA,639169_1
DMS79,DMS-79,CVCL_1178,DMS-79.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D08_246696,Unk422,DMS 79,SRR8615893,NA,NA,636829_1
DND41,DND-41,CVCL_2022,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G04_698650,NA,DND-41,SRR8615632,NA,NA,NA
DOHH2,DOHH-2,CVCL_1179,DOHH-2.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A12_578328,Unk33,DoHH2,SRR8615631,NA,NA,587608_1
DOK,DOK,CVCL_1180,DOK.cel,NA,Unk403,DOK,NA,EGAF00000859695,EGAN00001266094,636105_1
DOR13,Dor13,character(0),NA,NA,Unk213,NA,NA,NA,NA,587669_1
DOTC24510,DoTc2-4510,CVCL_1181,ega-box-03_DoTc2-4510.cel,NA,NA,DoTc2 4510,NA,EGAF00000859696,EGAN00001266095,NA
DOV13,DOV13,CVCL_6774,DOV13.cel,NA,NA,DOV13,NA,EGAF00000859697,EGAN00001266096,NA
DSH1,DSH1,CVCL_1182,DSH1.cel,NA,NA,DSH1,NA,EGAF00000859698,EGAN00001266097,NA
DU145,DU-145,CVCL_0105,DU-145.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F03_246734,Unk454,DU145,SRR8615300,NA,NA,636081_1
DU4475,DU-4475,CVCL_1183,DU-4475.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C01_411060,Unk540,DU4475,SRR8615297,NA,NA,636774_1
DV90,DV-90,CVCL_1184,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C07_464566,Unk511,DV-90,SRR8615636,NA,NA,636787_1
EB1,EB1,CVCL_2027,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F06_410978,Unk24,EB1,SRR8615635,NA,NA,587610_1
EB2,EB2,CVCL_1186,EB2.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C06_411046,Unk298,EB2,NA,EGAF00000859699,EGAN00001266098,636760_1
EB3,EB-3,CVCL_1185,EB-3.cel,NA,Unk22,EB3 [Human Burkitt lymphoma],NA,EGAF00000859700,EGAN00001266099,587609_1
EBC1,EBC-1,CVCL_2891,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A07_437582,Unk50,EBC-1,SRR8615634,NA,NA,587529_1
ECC10,ECC10,CVCL_1188,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_B12_592788,NA,ECC10,SRR8615633,NA,NA,NA
ECC12,ECC12,CVCL_1189,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E04_592716,NA,ECC12,SRR8615624,NA,NA,NA
ECGI10,EC-GI-10,CVCL_1187,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_F12_592786,NA,EC-GI-10,SRR8615274,NA,NA,NA
EF027,EF027,character(0),EFO-27.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G05_246762,Unk107,EFO-27,NA,NA,NA,NA
EFE184,EFE-184,CVCL_1191,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D10_293370,NA,EFE-184,SRR8615291,NA,NA,NA
EFM19,EFM-19,CVCL_0253,EFM-19.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E11_246726,Unk158,EFM-19,SRR8615289,NA,NA,587443_1
EFM192A,EFM-192A,CVCL_1812,EFM-192A.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H09_246794,Unk160,EFM-192A,SRR8615292,NA,NA,587444_1
EFM192B,EFM-192B,CVCL_1813,NA,NA,Unk488,NA,NA,NA,NA,635983_1
EFM192C,EFM-192C,CVCL_1814,NA,NA,Unk542,NA,NA,NA,NA,636861_1
EFO21,EFO-21,CVCL_0029,EFO-21.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F04_246736,NA,EFO-21,SRR8615290,NA,NA,NA
EFO27,EFO-27,CVCL_1192,NA,NA,NA,NA,SRR8615287,NA,NA,587671_1
EGI1,EGI-1,CVCL_1193,EGI-1.cel,NA,NA,EGI-1,NA,EGAF00000859701,EGAN00001266100,NA
EHEB,EHEB,CVCL_1194,EHEB.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F11_490410,NA,EHEB,SRR8615288,NA,NA,NA
EJM,EJM,CVCL_2030,EJM.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B02_490372,Unk268,EJM,SRR8615285,NA,NA,635600_1
EKVX,EKVX,CVCL_1195,EKVX.cel,NA,Unk52,EKVX,SRR8615286,NA,NA,587533_1
EM2,EM-2,CVCL_1196,ega-box-03_EM-2.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B05_490454,NA,EM-2,SRR8615293,EGAF00000661931,EGAN00001209146,NA
EMCBAC1,EMC-BAC-1,CVCL_X486,EMC-BAC-1.cel,NA,NA,EMC-BAC-1,NA,EGAF00000765620,EGAN00001236661,NA
EMCBAC2,EMC-BAC-2,CVCL_X487,EMC-BAC-2.cel,NA,NA,EMC-BAC-2,NA,EGAF00000765621,EGAN00001236662,NA
EN,EN,CVCL_2034,EN.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A09_293296,NA,EN,SRR8615294,NA,NA,NA
EOL1,EOL-1,CVCL_0258,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D11_578356,NA,EoL-1,SRR8616218,EGAF00000859702,EGAN00001266101,NA
EPLC272H,EPLC-272H,CVCL_1197,EPLC-272H.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H04_293454,Unk513,EPLC-272H,SRR8616217,NA,NA,636788_1
ES1,ES1,CVCL_1198,ES1.cel,NA,NA,ES1,NA,EGAF00000827827,EGAN00001252816,NA
ES2,ES-2,CVCL_3509,ES-2.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B12_335234,Unk214,ES-2,SRR8616220,NA,NA,587672_1
ES3,ES3,CVCL_1199,ES3.cel,NA,NA,ES3,NA,EGAF00000814216,EGAN00001252817,NA
ES4,ES4,CVCL_1200,ES4.cel,NA,NA,ES4,NA,EGAF00000814217,EGAN00001252818,NA
ES5,ES5,CVCL_1201,ES5.cel,NA,NA,ES5,NA,EGAF00000824170,EGAN00001252819,NA
ES6,ES6,CVCL_1202,NA,NA,NA,NA,NA,EGAF00000824171,EGAN00001252820,NA
ES7,ES7,CVCL_1203,ES7.cel,NA,NA,ES7,NA,EGAF00000824172,EGAN00001252821,NA
ES8,ES8,CVCL_1204,ES8.cel,NA,NA,ES8,NA,EGAF00000824173,EGAN00001252822,NA
ESO26,ESO26,CVCL_2035,ESO26.cel,NA,NA,ESO-26,NA,EGAF00000859703,EGAN00001266102,NA
ESO51,ESO51,CVCL_2036,ESO51.cel,NA,NA,ESO-51,NA,EGAF00000859704,EGAN00001266103,NA
ESS1,ESS-1,CVCL_1205,ESS-1.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B11_293324,NA,ESS-1,SRR8616219,NA,NA,NA
ETK1,ETK-1,CVCL_1206,ETK-1.cel,NA,NA,ETK-1,NA,EGAF00000859705,EGAN00001266104,NA
EVSAT,EVSA-T,CVCL_1207,EVSA-T.cel,NA,Unk159,Evsa-T,NA,EGAF00000824174,EGAN00001252823,587445_1
EW1,EW-1,CVCL_1208,EW-1.cel,NA,NA,EW-1,NA,EGAF00000824175,EGAN00001252824,NA
EW11,EW-11,CVCL_1209,EW-11.cel,NA,NA,EW-11,NA,EGAF00000824176,EGAN00001252825,NA
EW12,EW-12,CVCL_1210,EW-12.cel,NA,NA,EW-12,NA,EGAF00000827828,EGAN00001252826,NA
EW13,EW-13,CVCL_1211,EW-13.cel,NA,NA,EW-13,NA,EGAF00000824133,EGAN00001252827,NA
EW16,EW-16,CVCL_1212,EW-16.cel,NA,NA,EW-16,NA,EGAF00000824134,EGAN00001252828,NA
EW18,EW-18,CVCL_1213,EW-18.cel,NA,NA,EW-18,NA,EGAF00000824135,EGAN00001252829,NA
EW22,EW-22,CVCL_1214,EW-22.cel,NA,NA,EW-22,NA,EGAF00000824136,EGAN00001252830,NA
EW24,EW-24,CVCL_1215,EW-24.cel,NA,NA,EW-24,NA,EGAF00000824137,EGAN00001252831,NA
EW3,EW-3,CVCL_1216,EW-3.cel,NA,NA,EW-3,NA,EGAF00000827829,EGAN00001252832,NA
EW7,EW-7,CVCL_1217,EW-7.cel,NA,NA,EW-7,NA,EGAF00000824138,EGAN00001252833,NA
EW8,EW8,CVCL_1218,NA,NA,NA,NA,SRR8616214,NA,NA,NA
EWS502,EWS502,CVCL_S740,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F01_780336,NA,NA,SRR8616213,NA,NA,NA
F36P,F-36P,CVCL_2037,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D03_542924,NA,F-36P,SRR8616216,NA,NA,NA
F5,F5,CVCL_V616,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_D06_780350,NA,NA,NA,NA,NA,NA
FADU,FaDu,CVCL_1218,FADU.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F12_335330,Unk569,FaDu,SRR8616215,NA,NA,636797_1
FARAGE,Farage,CVCL_3302,Farage.cel,NA,Unk23,Farage,NA,EGAF00000859706,EGAN00001266105,587611_1
FLO1,FLO-1,CVCL_2045,FLO-1.cel,NA,NA,FLO-1,NA,EGAF00000859707,EGAN00001266106,NA
FTC133,FTC-133,CVCL_1219,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C12_698618,NA,FTC-133,SRR8615869,NA,NA,NA
FTC238,FTC-238,CVCL_2447,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_H05_780224,NA,FTC-238,SRR8615868,NA,NA,NA
FU97,FU97,CVCL_2908,FU97.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C09_256066,Unk91,Fu97,SRR8615735,NA,NA,587026_1
FUOV1,Fu-Ov-1,CVCL_2047,FU-OV-1.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C10_246676,NA,FU-OV-1,SRR8615736,NA,NA,NA
G111,G111,CVCL_N739,NA,NA,Unk350,NA,NA,NA,NA,636019_1
G112,G112,CVCL_N740,NA,NA,Unk352,NA,NA,NA,NA,636020_1
G118,G118,CVCL_N741,NA,NA,Unk378,NA,NA,NA,NA,636021_1
G120,G120,CVCL_N742,NA,NA,Unk380,NA,NA,NA,NA,636022_1
G121,G121,CVCL_N743,NA,NA,Unk379,NA,NA,NA,NA,636023_1
G122,G122,CVCL_N744,NA,NA,Unk381,NA,NA,NA,NA,636024_1
G124,G124,CVCL_N746,NA,NA,Unk325,NA,NA,NA,NA,636025_1
G130,G130,CVCL_N747,NA,NA,Unk327,NA,NA,NA,NA,636026_1
G140,G140,CVCL_N748,NA,NA,Unk326,NA,NA,NA,NA,636027_1
G141,G141,CVCL_N749,NA,NA,Unk412,NA,NA,NA,NA,636835_1
G142,G142,CVCL_N750,NA,NA,Unk328,NA,NA,NA,NA,636028_1
G22,G22,CVCL_N723,NA,NA,Unk562,NA,NA,NA,NA,636029_1
G28T,G28T,CVCL_0V15,NA,NA,Unk368,NA,NA,NA,NA,636030_1
G292CLONEA141B1,G-292_Clone_A141B1,CVCL_2909,G-292_Clone_A141B1.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C02_464578,CVCL_2909,G-292 clone A141B1,SRR8615737,NA,NA,NA
G361,G-361,CVCL_1220,G-361.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C07_246670,Unk138,G-361,SRR8615738,NA,NA,587732_1
G401,G-401,CVCL_0270,G-401.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B07_410892,NA,G-401,SRR8615739,NA,NA,NA
G402,G-402,CVCL_1221,G-402.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E02_335286,Unk571,G-402,SRR8615740,NA,NA,636833_1
G44,G44,CVCL_N727,NA,NA,Unk367,NA,NA,NA,NA,636031_1
G59,G59,CVCL_N729,NA,NA,Unk369,NA,NA,NA,NA,636032_1
G61,G61,CVCL_N731,NA,NA,Unk370,NA,NA,NA,NA,636033_1
G84,G84,CVCL_N735,NA,NA,Unk372,NA,NA,NA,NA,636034_1
G96,G96,CVCL_N736,NA,NA,Unk371,NA,NA,NA,NA,636035_1
GA10,GA-10,CVCL_1222,GA-10.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F09_410968,Unk25,GA-10,SRR8615741,NA,NA,587612_1
GAK,GAK,CVCL_1225,GAK.cel,NA,NA,GAK,NA,EGAF00000824139,EGAN00001252834,NA
GAMG,GAMG,CVCL_1226,GAMG.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D02_293354,NA,GaMG,SRR8615742,NA,NA,NA
GB1,GB-1,CVCL_1227,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C12_437496,NA,NA,SRR8615732,NA,NA,NA
GCIY,GCIY,CVCL_1228,GCIY.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D11_411014,NA,GCIY,SRR8615733,NA,EGAN00001280534,NA
GCT,GCT,CVCL_1229,GCT.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E12_335306,NA,GCT,SRR8615386,NA,NA,NA
GDM1,GDM-1,CVCL_1230,GDM-1.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B09_410896,NA,GDM-1,SRR8615385,NA,NA,NA
GEO,Geo,CVCL_0271,Geo.CEL,NA,NA,GEO,NA,EGAF00000859708,EGAN00001266107,NA
GI1,GI-1,CVCL_1231,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E12_293398,NA,GI-1,SRR8615384,NA,NA,NA
GIMEN,GI-ME-N,CVCL_1232,GI-ME-N.cel,NA,NA,GI-ME-N,NA,EGAF00000859709,EGAN00001266108,NA
GMEL,G-MEL,CVCL_W798,G-MEL.cel,NA,NA,G-mel,NA,EGAF00000824140,EGAN00001252835,NA
