ID,PharmacoGX_ID
PE/CA-PJ41-(clone-D2),PE/CA-PJ41 (clone D2)
PE/CA-PJ49,PE/CA-PJ49
PE01,#N/A
PEER,Peer
PEO1,PEO1
PF-382,PF-382
Pfeiffer,Pfeiffer
PFSK-1,PFSK-1
PK-1,PK-1
PK-45H,PK-45H
PK-45P,#N/A
PK-59,PK-59
PK-8,#N/A
PL-21,PL-21
PL18,PL18 [Human pancreatic adenocarcinoma]
PL4,PL4
PL45,PL45
PLC/PRF/5,PLC/PRF/5
PrEC-LH,#N/A
PSN1,PSN1
PWR-1E,PWR-1E
QGP-1,QGP-1
QIMR-WIL,QIMR-WIL
Raji,Raji
Ramos,#N/A
Ramos-2G6-4C10,Ramos.2G6.4C10
RC-K8,RC-K8
RCC-4,#N/A
RCC-AB,#N/A
RCC-ER,#N/A
RCC-FG2,#N/A
RCC-JF,#N/A
RCC-JW,#N/A
RCC-MF,#N/A
RCC10RGB,RCC10RGB
RCH-ACV,RCH-ACV
RCM-1,RCM-1 [Human rectum adenocarcinoma]
RD,RD
RD-ES,RD-ES
REC-1,REC-1
Reh,Reh
RERF-GC-1B,RERF-GC-1B
RERF-LC-Ad1,RERF-LC-Ad1
RERF-LC-Ad2,RERF-LC-Ad2
RERF-LC-AI,RERF-LC-A1
RERF-LC-FM,RERF-LC-FM
RERF-LC-KJ,RERF-LC-KJ
RERF-LC-MS,RERF-LC-MS
RERF-LC-OK,#N/A
RERF-LC-Sq1,RERF-LC-Sq1
RF-48,RF-48
RH-1,Rh1
RH-18,Rh18
RH-30,Rh30
RH-41,Rh41
Ri-1,Ri-1
RKN,RKN
RKO,RKO
RKO-AS45.1,#N/A
RKO-E6,#N/A
RL,RL
RL95-2,RL95-2
RMG-I,RMG-I
RMUG-S,#N/A
RO82-W-1,#N/A
ROS-50,ROS-50
RPMI-2650,RPMI-2650
RPMI-6666,RPMI-6666
RPMI-7951,RPMI-7951
RPMI-8226,RPMI-8226
RPMI-8402,RPMI-8402
RPMI-8866,RPMI-8866
RS4-11,RS4;11
RT-112,RT-112
RT112/84,#N/A
RT4,RT-4
RVH-421,RVH-421
RXF393,RXF 393L
S-117,S-117
SALE,#N/A
Saos-2,SaOS-2
Sarc9371,Sarc9371
SAS,SAS
SAT,SAT [Human HNSCC]
SBC-1,SBC-1
SBC-3,SBC-3
SBC-5,SBC-5
Sc-1,Sc-1
SCaBER,SCaBER
SCC-15,SCC-15
SCC-25,SCC-25
SCC-3,SCC-3
SCC-4,SCC-4
SCC-9,SCC-9
SCC90,#N/A
SCH,SCH
SCLC-21H,SCLC-21H
SCLC-22H,#N/A
SEM,SEM
Set-2,SET-2
SF-172,#N/A
SF-295,SF295
SF126,SF126
SF268,SF268
SF539,SF539
SH-10-TC,SH-10-TC
SH-4,SH-4
SH-SY5Y,#N/A
SHP-77,SHP-77
SIG-M5,SIG-M5
SiHa,SiHa
SIMA,SiMa
SISO,SiSo
SJCRH30,#N/A
SJRH30,#N/A
SJSA-1,SJSA-1
SK-BR-3,SK-BR-3
SK-CO-1,SK-CO-1
SK-ES-1,SK-ES-1
SK-GT-2,SK-GT-2
SK-GT-4,SK-GT-4
SK-HEP-1,SK-HEP-1
SK-LMS-1,SK-LMS-1
SK-LU-1,SK-LU-1
SK-MEL-1,SK-MEL-1
SK-MEL-2,SK-MEL-2
SK-MEL-24,SK-MEL-24
SK-MEL-28,SK-MEL-28
SK-MEL-3,SK-MEL-3
SK-MEL-30,SK-MEL-30
SK-MEL-31,SK-MEL-31
SK-MEL-5,SK-MEL-5
SK-MES-1,SK-MES-1
SK-MG-1,SK-MG-1
SK-MM-2,SK-MM-2
SK-N-AS,SK-N-AS
SK-N-BE(2),SK-N-BE(2)
SK-N-DZ,SK-N-DZ
SK-N-FI,SK-N-FI
SK-N-MC,SK-N-MC
SK-N-SH,SK-N-SH
SK-NEP-1,SK-NEP-1
SK-OV-3,SK-OV-3
SK-PN-DW,SK-PN-DW
SK-UT-1,SK-UT-1
SK23,#N/A
SKG-IIIa,SKG-IIIa
SKM-1,SKM-1
SKN-3,SKN-3
SLR-20,#N/A
SLR-21,#N/A
SLR-23,#N/A
SLR-25,#N/A
SLR-26,#N/A
SLVL,#N/A
SN12C,SN12C
SNB-19,#N/A
SNB75,SNB-75
SNG-M,SNG-M
SNU-1040,SNU-1040
SNU-1076,SNU-1076
SNU-1077,SNU-1077
SNU-1079,SNU-1079
SNU-1105,SNU-1105
SNU-119,SNU-119
SNU-1196,SNU-1196
SNU-1197,#N/A
SNU-1214,SNU-1214
SNU-1272,SNU-1272
SNU-16,SNU-16
SNU-175,SNU-175
SNU-182,SNU-182
SNU-201,SNU-201
SNU-213,SNU-213
SNU-216,SNU-216
SNU-283,SNU-283
SNU-308,SNU-308
SNU-324,#N/A
SNU-349,#N/A
SNU-387,SNU-387
SNU-398,SNU-398
SNU-407,SNU-407
SNU-410,SNU-410
SNU-423,SNU-423
SNU-449,SNU-449
SNU-46,SNU-46
SNU-466,SNU-466
SNU-475,SNU-475
SNU-478,SNU-478
SNU-484,#N/A
SNU-489,SNU-489
SNU-5,SNU-5
SNU-503,SNU-503
SNU-520,#N/A
SNU-601,SNU-601
SNU-61,SNU-61
SNU-620,SNU-620
SNU-638,#N/A
SNU-668,SNU-668
SNU-685,SNU-685
SNU-719,SNU-719
SNU-738,SNU-738
SNU-761,SNU-761
SNU-8,SNU-8
SNU-81,SNU-81
SNU-840,SNU-840
SNU-878,SNU-878
SNU-886,SNU-886
SNU-899,SNU-899
SNU-C1,SNU-C1
SNU-C2A,SNU-C2A
SNU-C2B,SNU-C2B
SNU-C4,SNU-C4
SNU-C5,SNU-C5
Sq-1,Sq-1
SR,SR
SR-786,#N/A
ST486,ST486
STS-0421,STS-0421
SU-DHL-1,SU-DHL-1
SU-DHL-10,SU-DHL-10
SU-DHL-16,SU-DHL-16
SU-DHL-4,SU-DHL-4
SU-DHL-5,SU-DHL-5
SU-DHL-6,SU-DHL-6
SU-DHL-8,SU-DHL-8
SU.86.86,SU.86.86
SUIT-2,SUIT-2
SUM-1315M02,#N/A
SUM-149PT,#N/A
SUM-159PT,#N/A
SUM-229PE,#N/A
SUM-52PE,#N/A
SUP-B15,SUP-B15
SUP-B8,SUP-B8
SUP-HD1,SUP-HD1
SUP-M2,SUP-M2
SUP-T1,SUP-T1
SUP-T11,SUP-T11
SW-1088,SW1088
SW-1271,SW1271
SW-1353,SW1353
SW-1573,SW1573
SW-1710,SW1710
SW-1783,SW1783
SW-1990,SW1990
SW-780,SW780
SW-900,SW900
SW-982,SW982
SW1116,SW1116
SW13,SW13
SW1417,SW1417
SW1463,SW1463
SW403,SW403
SW48,SW48
SW480,#N/A
SW527,#N/A
SW579,SW579
SW620,SW620
SW626,SW626
SW684,SW684
SW756,SW756
SW837,SW837
SW872,SW872
SW948,SW948
SW954,SW954
SW962,SW962
T-24,T24
T-47D,T-47D
T-T,T.T
T3M-4,#N/A
T84,T84
T98G,T98G
TALL-1,TALL-1 [Human adult T-ALL]
TASK1,TASK1
TC-32,#N/A
TC-71,TC-71
TC-YIK,TC-YIK
TCC-PAN2,TCC-PAN2
TCCSUP,TCCSUP
TE-1,TE-1
TE-10,TE-10
TE-11,TE-11
TE-12,TE-12
TE-125.T,#N/A
TE-14,TE-14
TE-15,TE-15
TE-159.T,#N/A
TE-4,TE-4
TE-441.T,TE 441.T
TE-5,TE-5
TE-6,TE-6
TE-8,TE-8
TE-9,TE-9
TEN,#N/A
TGBC11TKB,TGBC11TKB
TGBC1TKB,TGBC1TKB
TGBC24TKB,TGBC24TKB
TGW,TGW
THP-1,THP-1
TIG-3-TD,#N/A
TK,TK [Human B-cell lymphoma]
TK-10,TK-10
TM-31,TM-31
TMD-8,#N/A
TMK-1,TMK-1
TO-175.T,#N/A
Toledo,Toledo
TOV-112D,TOV-112D
TOV-21G,TOV-21G
TT,TT
TT2609-C02,TT2609-C02
TUHR10TKB,TUHR10TKB
TUHR14TKB,TUHR14TKB
TUHR4TKB,TUHR4TKB
TUR,TUR
TYK-nu,TYK-nu
TYK-nu.CP-r,#N/A
U-118-MG,U-118MG
U-138-MG,#N/A
U-178,#N/A
U-2-OS,U2OS
U-251-MG,U-251MG
U-266,#N/A
U-698-M,U-698-M
U-87-MG,U-87MG
U-937,U-937
U-CH2,U-CH2
U031,UO-31
U251,#N/A
U266B1,U266B1
U2932,#N/A
UAC257,#N/A
UACC-257,UACC-257
UACC-62,UACC-62
UACC-812,UACC-812
UACC-893,UACC-893
UCSD-242l,#N/A
UDSCC2,UD-SCC-2
UKE-1,#N/A
UM-UC-1,UM-UC-1
UM-UC-3,UM-UC-3
UMC-11,UMC-11
UMRC2,#N/A
UMRC6,#N/A
UT-7,#N/A
UWB1.289,UWB1.289
VA-ES-BJ,VA-ES-BJ
VAL,VAL
VCaP,VCaP
VM-CUB-1,VM-CUB-1
VMRC-LCD,VMRC-LCD
VMRC-LCP,#N/A
VMRC-MELG,VMRC-MELG
VMRC-RCW,VMRC-RCW
VMRC-RCZ,VMRC-RCZ
WiDr,#N/A
WIL2-NS,WIL2 NS
WM-115,WM115
WM-266-4,WM266-4
WM-793,WM793
WM-88,WM88
WM-983B,WM983B
WM1552C,WM1552C
WM1799,WM1799
WM278,WM278
WM35,WM35
WM793B,#N/A
WSU-DLCL2,WSU-DLCL2
WSU-FSCCL,#N/A
WSU-NHL,WSU-NHL
YAPC,YAPC
YD-10B,YD-10B
YD-15,YD-15
YD-38,YD-38
YH-13,YH-13
YKG-1,YKG-1
YMB-1,#N/A
YMB-1-E,YMB-1-E
YT,YT
ZR-75-1,ZR-75-1
ZR-75-30,ZR-75-30
